name;price;stock;description;categoryRef;imageUrl
SANDAL MEHANA;1300000;100;Dengan nuansa futuristik dan desain yang stylish, sandal adidas ini dapat diandalkan untuk hari yang cerah. Upper breathable terasa fleksibel di kakimu, sehingga kamu dapat bergerak dengan bebas. Penutup gesper yang dapat disesuaikan memberikan fit yang pas.;lifestyle;https://www.adidas.co.id/media/catalog/product/i/g/ig3537_2_footwear_photography_side20lateral20view_grey.jpg
SLIDES ADILETTE 22 XLG;1300000;100;Desain futuristik slides adidas ini mengambil inspirasi dari masa lampau. Pembaruan proporsi memberikan tampilan yang fresh. Sistem strap yang dapat disesuaikan memungkinkanmu untuk bertransisi dari slide menjadi sandal dengan cepat. Konstruksi EVA yang terdiri dari satu bagian dengan bahan hayati membuatmu tetap nyaman sepanjang hari dengan style berkarakter yang siap kamu pakai untuk tampil sesuai keinginanmu. Dengan memilih untuk mendaur ulang, kita dapat menggunakan kembali material yang telah dibuat, yang membantu mengurangi limbah. Pilihan material terbarukan akan membantu kita menghapus ketergantungan pada sumber daya terbatas. Produk kami dibuat dari paduan material daur ulang dan terbarukan, mengandung sedikitnya 20% total dari material ini.;lifestyle;https://www.adidas.co.id/media/catalog/product/i/e/ie5650_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU MULE ADIFOM STAN SMITH;1200000;100;Pakai dan segera berangkat. Menghadirkan kesan baru pada desain klasik, sepatu mules adidas ini mengapresiasi sepatu Stan Smith yang ikonis dengan cara yang tidak pernah kamu tahu bahwa kamu memerlukannya. Upper dan detail heel cap minimalis terinspirasi desain orisinal, namun proporsi tebal dan sensasi ultralembut terasa revolusioner dengan corak modern. Dibuat dari material busa yang sebagian dibuat dari tebu untuk desain ramah lingkungan, kamu akan merasa bangga untuk memakainya. Tanpa strap atau tali sepatu, artinya mudah dipakai dan dilepas � tetapi kaki tetap nyaman sepanjang pemakaian. Sepatu ini dibuat dari material alami dan terbarukan sebagai bagian dari perjalanan kami untuk memangkas penggunaan sumber daya terbatas dan membantu mengakhiri pencemaran limbah plastik.;lifestyle;https://www.adidas.co.id/media/catalog/product/i/e/ie0483_2_footwear_photography_side20lateral20view_grey.jpg
SLIDES ADILETTE 22;840000;100;Bagaimana jika adidas Adilette tidak diciptakan pada tahun 1972 untuk tim sepak bola Jerman namun sebagai sandal resmi sehari-hari untuk koloni manusia pertama di Mars? Versi baru dari slides ikonis ini membuat kita lebih dekat dengan jawabannya. Dengan desain futuristik yang terinspirasi topografi 3D, slides ini didesain untuk menjalani kehidupan bersamamu - tidak peduli planet apa pun yang kamu tempati.Slides ini dibuat dari material alami dan terbarukan sebagai bagian dari perjalanan kami untuk mengurangi penggunaan sumber daya terbatas dan membantu mengakhiri pencemaran limbah plastik.;lifestyle;https://www.adidas.co.id/media/catalog/product/i/e/ie5645_2_footwear_photography_side20lateral20view_grey.jpg
COUNTRY OG LOW TRAINERS;2200000;100;First released in 1972 to equip athletes for the Munich Olympics, these adidas shoes have a lightweight build that revolutionised running. Today, all the details runners loved back in the day are still here: the soft cushioning, grippy outsole and low-profile build. The flexible leather upper blends everyday comfort with an elevated look, leaving you ready to lace up and get out there.;lifestyle;https://www.adidas.co.id/media/catalog/product/i/d/id3545_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU GAZELLE;1700000;100;Kesederhanaan pamungkas selama tiga dekade dan terus berlanjut. Versi Gazelle ini merupakan penghargaan bagi versi favorit tahun 1991 dengan bahan, warna, tekstur, dan proporsi yang sama seperti versi original. Bagian atas kulit dilengkapi 3-Stripes kontras dan tab tumit yang menggaungkan gaya era 90-an awal.;lifestyle;https://www.adidas.co.id/media/catalog/product/b/b/bb5478_sl_ecom.jpg
SEPATU SUPERNOVA STRIDE;1900000;100;Make strides toward your running goals in these adidas shoes. The Dreamstrike+ midsole is tuned to absorb impact. Additional cushioning in the forefoot offers comfort throughout your run. A breathable mesh upper maximises airflow to keep feet cool, and a durable Adiwear outsole offers traction. By choosing recycled, we are able to reuse materials that have already been created, which helps to reduce waste. Renewable materials choices will help us to remove our reliance on finite resources. Our products made with a blend of recycled and renewable materials feature at least 20% total of these materials.;running;https://www.adidas.co.id/media/catalog/product/i/g/ig8317_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU ADIZERO ADIOS PRO 3 M;4000000;100;Adizero Adios Pro 3 adalah puncak produk Adizero Racing. Didesain bersama dan untuk atlet agar dapat meraih prestasi yang luar biasa. Sepatu running adidas ini dibuat untuk mengoptimalkan efisiensi lari. ENERGYRODS yang dipadukan dengan material karbon memberikan kepadatan ringan untuk menghasilkan langkah yang pas dan efisien. LIGHTSTRIKE PRO ultraringan menjadi bantalan dalam setiap langkah dengan dua lapisan busa kami yang paling elastis untuk membantumu mempertahankan energi dalam jangka panjang. Dilengkapi lapisan tipis outsole berbahan karet tekstil yang menghasilkan traksi luar biasa dalam kondisi kering maupun basah.;running;https://www.adidas.co.id/media/catalog/product/i/g/ig6440_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU SUPERNOVA SOLUTION;2200000;100;Through lunchtime loops, after-work kilometres or dedicated training runs, these versatile adidas running shoes deliver a lightweight, responsive feel to keep you chasing your running goals. Dreamstrike+ foam is tuned for comfort, while Stability Rods help guide the foot for smooth transitions. A sandwich mesh upper offers support and breathability, and the Adiwear outsole grips the road as you go.By choosing recycled, we are able to reuse materials that have already been created, which helps to reduce waste. Renewable materials choices will help us to remove our reliance on finite resources. Our products made with a blend of recycled and renewable materials feature at least 20% total of these materials.;running;https://www.adidas.co.id/media/catalog/product/i/f/if3005_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU ULTRABOOST LIGHT;3300000;100;Merasa nyaman, berlari cepat, melakukan yang lebih baik. Itu adalah sebuah siklus. Tingkatkan intensitas larimu dengan sepatu running Ultraboost Light. Ultraboost paling ringan dan paling responsif, sepatu ini juga dibuat dengan jejak karbon yang lebih rendah dari versi sebelumnya. Keajaiban terletak pada midsole Light BOOST, generasi baru adidas BOOST dengan pengembalian energi yang bahkan lebih besar. Itu berarti kamu akan merasa lebih berenergi dalam sesi larimu, tidak peduli tempo atau jarak tempuh.;running;https://www.adidas.co.id/media/catalog/product/i/f/if1720_2_footwear_photography_side20lateral20view_grey.jpg
